sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium salicylate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper-Nickel";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper-Nickel";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper-Nickel";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (12Cr)";"sodium salicylate";"organic acid salts";"5 – 45";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (17Cr)";"sodium salicylate";"organic acid salts";"5 – 45";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Duplex Stainless Steel (25-6-3)";"sodium salicylate";"organic acid salts";"1 – 60";"212 – 239";"<2";"198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Gold/ Platinum";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Gold/ Platinum";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium salicylate";"organic acid salts";"80 – 95";"212 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium salicylate";"organic acid salts";"5 – 60";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium salicylate";"organic acid salts";"60 – 80";"75 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
