sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Manganese chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"pitting; stress corrosion cracking";"5 – 50";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"5 – 50";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"5 – 50";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"pitting; stress corrosion cracking";"15 – 25";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"35 – 45";"175 – 225";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"45 – 50";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"pitting; stress corrosion cracking";"5 – 15";"125 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"5 – 25";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"35 – 45";"175 – 225";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"manganese chloride";"sacchite";"7773-01-05";"Cl2Mn";"salts";"";"45 – 50";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
