sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Alkylaryl sulfonic acids";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel (200)";"alkylaryl sulfonic acids";"surfactants & detergents";"pitting";"25 – 35";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"alkylaryl sulfonic acids";"surfactants & detergents";"pitting";"25 – 35";"125 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel Cast Iron (15-35Ni)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"alkylaryl sulfonic acids";"surfactants & detergents";"pitting";"25 – 35";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Cr-Fe Alloy (600/ 690)";"alkylaryl sulfonic acids";"surfactants & detergents";"pitting";"25 – 35";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"25 – 35";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"alkylaryl sulfonic acids";"surfactants & detergents";"pits";"25 – 35";"142 – 192";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silver";"alkylaryl sulfonic acids";"surfactants & detergents";"";"25 – 35";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Tantalum";"alkylaryl sulfonic acids";"surfactants & detergents";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
