sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"25";"Glass, Chemical";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"80";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Nylon";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"2";"questionable";"";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Phenolic Resins, Asbestos-Reinforced";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";">10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"80";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"32";"Polymethyl Methacrylate (PMMA)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"34";"Polypropylene (PP)";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinyl Chloride (PVC)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10 – 60";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinyl Chloride (PVC)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinylidene Fluoride (PVDF)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Butyl (BR)";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10 – 70";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Butyl (BR)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Butyl (BR)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Natural (NR)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10";"70 – 150";"";"saturated, dilute";"1";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Natural (NR)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"44";"Styrene Acrylonitrile Copolymer (SAN)";"";"copper sulfate";"chalcocyanite";"saturated";"7758-98-7";"CuO4S";"salts";"1";"recommended";"10";"60 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"45";"Styrene Acrylonitrile Copolymer (SAN)";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"70";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"46";"Vinyl Ester Resins";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";">10";"70 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";""
"47";"Wood";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended; >13 years; 1% sulfuric acid; 1 to 5%; tanks and pipes";"10";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"48";"Wood";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"3";"not recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"49";"Wood";"";"copper sulfate";"chalcocyanite";"";"7758-98-7";"CuO4S";"salts";"1";"recommended";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
