sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Detergents";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate Butyrate";"";"detergents";"";"surfactants & detergents";"2";"questionable; weight gain";"5";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"detergents";"sulfated";"surfactants & detergents";"1";"recommended";"<50";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"100";"";"germicidal, concentrated";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"120";"";"build solution, pH 9-10, 10-12% solids";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"130";"";"pax Hyspeed, saturated";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"160";"<6";"organic, pH 10-11";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"detergents";"sulfated";"surfactants & detergents";"1";"recommended";"<50";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"5";"185";"";"pH 8";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"165";"<6";"pH 10-11";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nylon";"";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"detergents";"";"surfactants & detergents";"1";"recommended";"10";"70 – 212";"";">7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"detergents";"sulfated";"surfactants & detergents";"1";"recommended";"20 – 50";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"biodegradable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"";"detergents";"";"surfactants & detergents";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"detergents";"";"surfactants & detergents";"3";"not recommended";"10";"70 – 150";"";"heavy duty may stress crack";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polypropylene (PP)";"";"detergents";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"biodegradable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
