sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cottonseed oil";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"75";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 73";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cottonseed oil";"vegetable oil";"fats & oils";"2";"questionable; recommended WITH CAUTION, avoid high stress applications";"100";"73 – 212";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended; may stress crack; no problem with linear polyethylene";"100";"70 – 90";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"cottonseed oil";"vegetable oil";"fats & oils";"2";"questionable";"100";"90 – 150";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinyl Chloride (PVC)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"Kynar";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Styrene Acrylonitrile Copolymer (SAN)";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Vinyl Ester Resins";"";"cottonseed oil";"vegetable oil";"fats & oils";"1";"recommended";"100";"70 – 210";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
