sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glycerol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"212";"<2";"";"57,177";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"45 – 55";"225 – 325";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"75 – 85";"275 – 325";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"45 – 55";"225 – 325";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"75 – 85";"275 – 325";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">5";"25 – 225";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 500";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"5 – 15";"25 – 175";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Brass (>15Zn)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 175";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Brass (>15Zn)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"175 – 225";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"45 – 55";"125 – 175";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cast Iron, Gray/ Ductile";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 75";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cast Iron, Gray/ Ductile";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"175 – 225";">50";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"5 – 15";"25 – 175";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"45 – 55";"25 – 75";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"45 – 55";"75 – 225";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";">65";"275 – 325";"20 – 50";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"25 – 175";"<2";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"100";"175 – 225";"<20";"";"57,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
