sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Tartaric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"5 – 15";"25 – 225";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"5 – 55";"25 – 75";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"45 – 55";"175 – 225";">50";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"100";"300 – 425";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"tartaric acid";"organic (weak) acids";"";"5 – 55";"25 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"tartaric acid";"organic (weak) acids";"";"100";"300 – 425";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Brass (>15Zn)";"tartaric acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 60";"25 – 75";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cast Iron, Gray/ Ductile";"tartaric acid";"organic (weak) acids";"";"5 – 15";"25 – 75";">50";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Copper/ Bronze/ Low Brass";"tartaric acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 60";"25 – 75";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Copper-Nickel";"tartaric acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 60";"25 – 75";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Cr Stainless Steel (12Cr)";"tartaric acid";"organic (weak) acids";"";"45 – 55";"25 – 175";"<20";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Cr Stainless Steel (12Cr)";"tartaric acid";"organic (weak) acids";"";"45 – 55";"175 – 225";">50";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Cr Stainless Steel (17Cr)";"tartaric acid";"organic (weak) acids";"";"5 – 55";"25 – 225";"<20";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Duplex Stainless Steel (25-6-3)";"tartaric acid";"organic (weak) acids";"";"5 – 65";"25 – 225";"<2";"";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Duplex Stainless Steel (25-6-3)";"tartaric acid";"organic (weak) acids";"";"30";"216";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Duplex Stainless Steel (25-6-3)";"tartaric acid";"organic (weak) acids";"";"50";"223";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Duplex Stainless Steel (25-6-3)";"tartaric acid";"organic (weak) acids";"";"65 – 75";"175 – 275";"<2";"";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Duplex Stainless Steel (25-6-3)";"tartaric acid";"organic (weak) acids";"";"70";"237";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Gold/ Platinum";"tartaric acid";"organic (weak) acids";"";"5 – 25";"25 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Gold/ Platinum";"tartaric acid";"organic (weak) acids";"";"5 – 65";"175 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Gold/ Platinum";"tartaric acid";"organic (weak) acids";"";"35 – 45";"25 – 175";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Gold/ Platinum";"tartaric acid";"organic (weak) acids";"";"55 – 60";"25 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Lead";"tartaric acid";"organic (weak) acids";"";"5 – 25";"25 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Lead";"tartaric acid";"organic (weak) acids";"";"5 – 65";"175 – 225";"<2";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
