sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper-Nickel";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper-Nickel";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper-Nickel";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (12Cr)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (12Cr)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (17Cr)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (17Cr)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Gold/ Platinum";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"15 – 25";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Gold/ Platinum";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"35 – 45";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Gold/ Platinum";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"55 – 60";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Lead";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Lead";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Lead";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"25 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel-Copper (400)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"severe corrosion with oxygen ingress";"45 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Cr-Fe Alloy (600/ 690)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"52 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"187 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 15";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silver";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"15 – 25";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silver";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"35 – 45";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silver";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"55 – 60";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Steels, Carbon/ Low Alloy";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"25 – 60";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Superferritic Stainless Steel (26-1)";"barium cyanide";"542-62-1";"C2BaN2";"salts";"";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
