sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium polysulfides";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium polysulfides";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"sodium polysulfides";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"sodium polysulfides";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium polysulfides";"45 – 55";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium polysulfides";"45 – 55";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium polysulfides";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium polysulfides";"100";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"sodium polysulfides";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"sodium polysulfides";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"sodium polysulfides";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"sodium polysulfides";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"sodium polysulfides";"5 – 15";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"sodium polysulfides";"45 – 55";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"sodium polysulfides";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"sodium polysulfides";"100";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium polysulfides";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium polysulfides";"15 – 25";"75 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium polysulfides";"45 – 55";"325 – 375";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
