sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Oleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"23";"Polyesters, Glass Fiber-Reinforced";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"";"oleic acid";"cis-9-octadecenoic acid";"concentrated";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable; swollen; marginal";"100";"60 – 70";"<1";"";"1, 8";"";"";"";"";"";"";"";"";"";""
"25";"Polyethylene (PE)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 135";"";"";"1, 8";"";"";"";"";"";"";"";"";"";""
"26";"Polyethylene (PE)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended; weight gain";"100";"135 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";""
"27";"Polymethyl Methacrylate (PMMA)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended; swollen ";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polymethyl Methacrylate (PMMA)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"30";"Polypropylene (PP)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Polypropylene (PP)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended; weight gain ";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinyl Chloride (PVC)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinylidene Fluoride (PVDF)";"Kynar";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinylidene Fluoride (PVDF)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable";"100";"250 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Butyl (BR)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Natural (NR)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended; swollen ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Natural (NR)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"3";"not recommended; swollen ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"39";"Styrene Acrylonitrile Copolymer (SAN)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"40";"Styrene Acrylonitrile Copolymer (SAN)";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"2";"questionable";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Vinyl Ester Resins";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";""
"42";"Wood";"";"oleic acid";"cis-9-octadecenoic acid";"";"112-80-1";"C18H34O2";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"cypress";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
