sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzoic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 500";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 500";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 475";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"475 – 500";">50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"0 – 212";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"215 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"100";"248 – 500";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"0 – 212";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"215 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"475 – 500";">50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 75";">50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"475 – 500";">50";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"248 – 325";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (17Cr)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<20";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Duplex Stainless Steel (25-6-3)";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"<5";"0 – 212";"<2";"";"20,164";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"benzoic acid";"benzenecarboxylic acid";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"25 – 225";"<2";"";"20,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
