sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5 – 65";"25 – 225";"<2";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"10";"293";">50";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"15 – 55";"225 – 275";"<20";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"20 – 65";"243 – 250";"20 – 50";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"65 – 95";"25 – 125";"<2";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"75 – 85";"125 – 225";"<20";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"80 – 90";"176";"20 – 50";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"85 – 95";"125 – 175";"<20";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"90 – 99";"183 – 201";">50";"";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-4Mo (904L)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"100";"25 – 75";"<20";"also white fuming/ red fuming is 50 mpy to 163°C (325°F)";"71,138,185,216,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"";"";"5";"212";"<2";"boiling point";"71,138,185,216,220,221";"";"";"";"";"";"";"";"";"";"";"";""
