sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hypochlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"calcium hypochlorite";"";"salts";"2";"questionable";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10 – 90";"70 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"calcium hypochlorite";"";"salts";"3";"not recommended; softened; weight gain";"6";"60 – 70";"<12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"calcium hypochlorite";"";"salts";"3";"not recommended; softened, weight gain, cracked, >12 months";"<6";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"calcium hypochlorite";"";"salts";"1";"recommended";"30";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"calcium hypochlorite";"";"salts";"1";"recommended";"5";"120";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"10 – 20";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"calcium hypochlorite";"";"salts";"1";"recommended";">10";"70 – 150";"";"plus calcium chloride suspension ";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"";"calcium hypochlorite";"";"salts";"1";"recommended";">10";"60 – 70";"";">7pH; high alumina";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"calcium hypochlorite";"";"salts";"3";"not recommended; over 3 years";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium hypochlorite";"saturated";"salts";"3";"not recommended";"10";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"calcium hypochlorite";"";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"calcium hypochlorite";"";"salts";"1";"recommended";">10";"70 – 150";"";"slurries also; ~15% chlorine";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"calcium hypochlorite";"";"salts";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
