sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bisphenol A Fumarate Unsaturated Polyester";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Bisphenol A Fumarate Unsaturated Polyester";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"50 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Bisphenol A Fumarate Unsaturated Polyester";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 20";"160 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Bisphenol A Fumarate Unsaturated Polyester";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 70";"100 – 160";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Bisphenol A Fumarate Unsaturated Polyester";"chlorinated polyester";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; elevated temperature curing improves resistance significantly";">10";"50 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Bisphenol A Fumarate Unsaturated Polyester";"";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"ferric chloride";"iron chloride";"";"7705-08-0";"Cl3Fe";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Bisphenol A Fumarate Unsaturated Polyester";"Bisphenol A resin";"hypochlorous acid";"";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"10";"50 – 100";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Bisphenol A Fumarate Unsaturated Polyester";"";"hypochlorous acid";"";"wet, chlorine gas";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"10 – 20";"115 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Bisphenol A Fumarate Unsaturated Polyester";"";"hypochlorous acid";"";"wet";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"20";"50 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"magnesium chloride";"magnogene";"";"7786-30-3";"Cl2Mg";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"nickel chloride";"";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
