sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Quinine bisulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Nickel Cast Iron (15-35Ni)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel Cast Iron (15-35Ni)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel-Copper (400)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Ni-Mo Alloy (Ni-30Mo; B-2)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Ni-Mo Alloy (Ni-30Mo; B-2)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silicon Cast Iron (14Si)";"quinine bisulfate";"amino salts";"5 – 15";"52 – 237";"<20";"215,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silicon Cast Iron (14Si)";"quinine bisulfate";"amino salts";"100";"52 – 237";"<20";"215,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Silver";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Silver";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Steels, Carbon/ Low Alloy";"quinine bisulfate";"amino salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
