sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"75 – 175";">50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"175 – 225";"<20";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"pitting";"5 – 15";"25 – 75";">50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";">50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"pitting";"5 – 15";"25 – 75";"<20";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 75";"20 – 50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 175";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"175 – 225";"20 – 50";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"225 – 275";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<20";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"carbonic acid";"463-79-6 [124-38-9]";"CH2O3";"inorganic acids";"";"5 – 15";"25 – 225";"<2";"28,121,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
