sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrocyanic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"5 – 15";"125 – 175";"20 – 50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"5 – 15";"175 – 225";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"100";"25 – 500";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper-Nickel";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper-Nickel";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"severe corrosion with oxygen ingress";"";"100";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";">85";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (17Cr)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";">85";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Duplex Stainless Steel (25-6-3)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"68";"<2";"";"179";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Gold/ Platinum";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";">5";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Lead";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"5 – 15";"25 – 275";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Lead";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"15 – 35";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Lead";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Lead";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
