sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"2";"questionable";"20";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"20";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Carbon-Graphite Composites";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 90";"100 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"10";"60 – 70";"<1";"saturated, weight gain";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"100";"60 – 70";"<1";"saturated; discolored; weight gain";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"40";"150";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium fluoride";"saturated";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"10 – 20";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"40";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"20";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"20";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinyl Chloride (PVC)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinyl Chloride (PVC)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10";"75";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyvinylidene Chloride (PVDC)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"30";"75";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"20";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinylidene Fluoride (PVDF)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"29";"Rubber, Butyl (BR)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Rubber, Butyl (BR)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"2";"questionable";"10 – 20";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Rubber, Natural (NR)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Natural (NR)";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"10 – 20";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Vinyl Ester Resins";"";"ammonium fluoride";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"40";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
