sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phosphorus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phosphorus";"100";"111 – 175";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phosphorus";"100";"111 – 175";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Brass (>15Zn)";"phosphorus";"100";"111 – 125";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"phosphorus";"100";"111 – 125";"<20";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Copper/ Bronze/ Low Brass";"phosphorus";"100";"111 – 125";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper-Nickel";"phosphorus";"100";"111 – 125";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phosphorus";"100";"125 – 175";"<2";"76,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phosphorus";"100";"125 – 175";"<2";"76,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phosphorus";"100";"125 – 175";"<2";"76,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phosphorus";"100";"125 – 175";"<2";"76,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phosphorus";"100";"125 – 175";"<2";"76,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel (200)";"phosphorus";"100";"111 – 175";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel Cast Iron (15-35Ni)";"phosphorus";"100";"111 – 125";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel-Copper (400)";"phosphorus";"100";"111 – 175";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Cr-Fe Alloy (600/ 690)";"phosphorus";"100";"111 – 175";"<2";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Steels, Carbon/ Low Alloy";"phosphorus";"100";"111 – 125";"<20";"76,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
