sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrobenzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Non-asbestos";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"79";"";"90 days, slight weight/volume change";"3";"";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"nitrobenzene";"liquid";"98-95-3";"C6H5NO2";"aromatics";"2";"questionable";"100";"167";"";"167 days, noticeable weight/volume change";"3";"";"";"";"";"";"";"";"";"";"";""
"28";"Polychloroprene";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; swollen";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"5";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyesters, Glass Fiber-Reinforced";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; weight gain";"100";"70 – 150";"<6";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"32";"Polymethyl Methacrylate (PMMA)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"200";"<6";"";"18";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended; weight gain";"100";"60 – 80";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinyl Chloride (PVC)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; disintegrated ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinylidene Fluoride (PVDF)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinylidene Fluoride (PVDF)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"2";"questionable";"100";"70 – 150";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Butyl (BR)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Natural (NR)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; swollen ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Natural (NR)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; disintegrated ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Vinyl Ester Resins";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"100";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"44";"Wood";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
