sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Silver nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinyl Chloride (PVC)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Fluoride (PVDF)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Rubber, Butyl (BR)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<8";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Rubber, Butyl (BR)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable";"8";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Natural (NR)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"<8";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Natural (NR)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"3";"not recommended";"8";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Styrene Acrylonitrile Copolymer (SAN)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"10";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Styrene Acrylonitrile Copolymer (SAN)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable";"10";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Styrene Acrylonitrile Copolymer (SAN)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Styrene Acrylonitrile Copolymer (SAN)";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"2";"questionable";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Vinyl Ester Resins";"";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1";"recommended";"any";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
