sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Paraformaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 15";"75 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 275";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"275 – 325";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 325";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Gold/ Platinum";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"severe corrosion with oxygen ingress";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"5 – 30";"25 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"paraformaldehyde";"30525-89-4";"(CH2O)x";"aldehydes";"";"100";"320 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
