sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloroform";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";"100";"68 – 144";"<2";"36,169,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";">65";"25 – 75";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";">75";"75 – 125";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";"85 – 95";"175 – 225";"20 – 50";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";">65";"25 – 75";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";">75";"75 – 125";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";"85 – 95";"175 – 225";"20 – 50";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"chloroform";"trichloromethane";"67-66-3";"CHCl3";"halogenated aliphatics";"hazardous!";"";"85 – 95";"25 – 75";">50";"36,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
