sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Yeast";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"yeast";"foods & beverages";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"yeast";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"yeast";"foods & beverages";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Concrete";"yeast";"foods & beverages";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"yeast";"foods & beverages";"1";"recommended";"100";"50 – 100";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"yeast";"foods & beverages";"1";"recommended";">10";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Glass, Chemical";"yeast";"foods & beverages";"1";"recommended";"10 – 90";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polychloroprene";"yeast";"foods & beverages";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"yeast";"foods & beverages";"1";"recommended";"10";"50 – 100";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"yeast";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"yeast";"foods & beverages";"1";"recommended";"100";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Rubber, Butyl (BR)";"yeast";"foods & beverages";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Rubber, Natural (NR)";"yeast";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Wood";"yeast";"foods & beverages";"1";"recommended; difficult to clean";">10";"50 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
