sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Gelatin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"gelatin";"foods & beverages";"any";"0 – 212";"<2";"";"55,177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"gelatin";"foods & beverages";"any";"0 – 212";"<2";"";"55,177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"gelatin";"foods & beverages";"any";"0 – 212";"<2";"";"55,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"gelatin";"foods & beverages";"100";"0 – 225";"<2";"";"55,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"gelatin";"foods & beverages";"any";"0 – 212";"<2";"";"55,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"gelatin";"foods & beverages";"100";"0 – 225";"<2";"";"55,177,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"gelatin";"foods & beverages";"100";"25 – 125";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"gelatin";"foods & beverages";"100";"25 – 225";"20 – 50";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"gelatin";"foods & beverages";"100";"25 – 75";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"gelatin";"foods & beverages";"100";"75 – 125";"<20";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"gelatin";"foods & beverages";"100";"125 – 175";"20 – 50";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"gelatin";"foods & beverages";"100";"175 – 225";">50";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (17Cr)";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Duplex Stainless Steel (25-6-3)";"gelatin";"foods & beverages";"any";"0 – 212";"<2";"";"55,177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"gelatin";"foods & beverages";"100";"25 – 225";"<2";"";"55,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
