sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrofluoric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";"10 – 40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";"40";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";"60 – 70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"2";"questionable";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended; weight gain ";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";"50 – 60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Carbon-Graphite Composites";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"1";"recommended";"10 – 40";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Carbon-Graphite Composites";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"1";"recommended";"50";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Carbon-Graphite Composites";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended";">60";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Cellulose Acetate";"";"hydrofluoric acid";"hydrogen fluoride";"7664-39-3";"FH";"inorganic acids";"3";"not recommended; softened, ";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
