sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenylhydrazine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"100";"68 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"100";"68 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"severe corrosion with oxygen ingress";"100";"68 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"100";"68 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"severe corrosion with oxygen ingress";"5 – 10";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"severe corrosion with oxygen ingress";"5 – 10";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Steels, Carbon/ Low Alloy";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Steels, Carbon/ Low Alloy";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"100";"68 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Superferritic Stainless Steel (26-1)";"phenylhydrazine";"100-63-0";"C6H8N2";"hydrazines";"";"5 – 10";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
