sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glycerol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 310";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Carbon-Graphite Composites";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"310 – 338";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorinated Polyvinyl Chloride (CPVC)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Concrete";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended; over 3 years";">10";"75 – 300";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 250";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"glycerol";"1,2,3-trihydroxypropane";"56-81-5";"C3H8O3";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
