sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbonyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"carbonyl chloride";"gas, liquid";"2";"questionable";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbonyl chloride";"";"3";"not recommended";"90";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbonyl chloride";"liquid";"3";"not recommended";"90";"80 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbonyl chloride";"";"2";"questionable";"100";"0 – 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbonyl chloride";"";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbonyl chloride";"gas";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"carbonyl chloride";"liquid";"3";"not recommended";">40";"-180";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"carbonyl chloride";"liquid";"1";"recommended";"100";"32 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"carbonyl chloride";"";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"carbonyl chloride";"";"1";"recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
