sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"5 – 15";"25 – 75";"<20";"109,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"5 – 15";"25 – 75";"<20";"109,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"hazardous!";"5 – 60";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"possible hazard";"100";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"100";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 60";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"109,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
