sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; weight loss, ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; weight gain, ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"2";"questionable; discolored; weight gain";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"70 – 100";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended";"100";"110 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended; wets";"100";"70 – 90";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; weight gain";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"60 – 100";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"70 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; Haveg 61 recommended ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; swollen, >12 months";"100";"60 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polychloroprene";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended; swollen, ";"100";"75 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyesters, Glass Fiber-Reinforced";"";"ethyl ether";"diethyl ether";"60-29-7";"C4H10O";"ethers";"3";"not recommended";">10";"50 – 73";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
