sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Uranyl nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";"20 – 50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"uranyl nitrate";"salts";"radioactive!";"pitting";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";">50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";">50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";">50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 275";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Lead";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";"20 – 50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 125";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 125";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 125";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 125";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 125";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel Cast Iron (15-35Ni)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Cr-Fe Alloy (600/ 690)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"52 – 282";"<2";"216,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 75";">50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Superferritic Stainless Steel (26-1)";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"uranyl nitrate";"salts";"radioactive!";"";"5 – 50";"25 – 275";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
