sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Uranium hexafluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper/ Bronze/ Low Brass";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper-Nickel";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Nickel (200)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 325";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel-Copper (400)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Steels, Carbon/ Low Alloy";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Superferritic Stainless Steel (26-1)";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Titanium, Unalloyed";"uranium hexafluoride";"uranium fluoride";"7783-81-5";"F6U";"salts";"radioactive!";"100";"149 – 175";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
