sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"3";"not recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"3";"not recommended";"10";"70 – 212";"";"also at ";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate Butyrate";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"2";"questionable; weight gain";"";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorosulfonated Polyethylene";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"";"potassium sulfate";"saturated";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Concrete";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"3";"not recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Cements";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Cements";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Glass Fiber- Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"1";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Resin, Glass Fiber- Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10 – 20";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Resin, Glass Fiber- Reinforced";"";"potassium sulfate";"saturated";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"21";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Fluororubber";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Fluororubber";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10 – 20";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Glass, Chemical";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Glass, Chemical";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"20 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Nylon";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Phenolic Resins, Asbestos-Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Phenolic Resins, Asbestos-Reinforced";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polychloroprene";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"1";"recommended";"10";"70 – 150";"";"also saturated";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polychloroprene";"";"potassium sulfate";"";"7778-80-5";"K2O4S";"salts";"2";"questionable";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
