sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyethylene (PE)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"2";"questionable";"40";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"25";"Polymethyl Methacrylate (PMMA)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended; weight gain";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinyl Chloride (PVC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Chloride (PVDC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"20";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinylidene Chloride (PVDC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"40";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Chloride (PVDC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"60";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinylidene Chloride (PVDC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"80";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinylidene Chloride (PVDC)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Butyl (BR)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"40";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Butyl (BR)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Natural (NR)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"40";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Natural (NR)";"";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
