sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"22";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetyl chloride";"ethanoyl chloride";"";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetylene";"ethyne";"";"74-86-2";"C2H2";"hydrocarbons";"";"";"100";"25 – 425";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"24";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetylene chloride";"";"";"";"";"halogenated aliphatics";"";"pitting";"100";"25 – 75";"<2";"";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"25";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrolein";"2-propenal";"";"107-02-8";"C3H4O";"aldehydes";"";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"26";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrolein";"2-propenal";"";"107-02-8";"C3H4O";"aldehydes";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"27";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylic acid";"2-propenoic acid";"";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"";">5";"25 – 125";"<2";"";"208,209,219";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylic acid";"2-propenoic acid";"";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"";"100";"125 – 225";"<2";"";"208,209,219";"";"";"";"";"";"";"";"";"";"";""
"29";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"";"";"5 – 15";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"30";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"";"";"75 – 95";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"31";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"32";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"alkyl boranes";"";"";"";"";"";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"33";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"alkylaryl sulfonic acids";"";"";"";"";"surfactants & detergents";"";"pitting";"25 – 35";"125 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"34";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"alkylaryl sulfonic acids";"";"";"";"";"surfactants & detergents";"";"";"100";"25 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"35";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"alkylphenol";"";"";"";"";"phenols";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"36";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";"";">5";"25 – 225";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";""
"37";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";"";"100";"25 – 325";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";""
"38";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"";"100";"25 – 225";"<20";"";"32,210,219";"";"";"";"";"";"";"";"";"";"";""
"39";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl sulfide";"";"";"";"";"";"";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"40";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allylamine";"2-propen-1-amine";"";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<2";"";"217,219,220";"";"";"";"";"";"";"";"";"";"";""
"41";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allylamine";"2-propen-1-amine";"";"107-11-9";"C3H7N";"amines";"";"";"25 – 35";"225 – 325";"<2";"";"217,219,220";"";"";"";"";"";"";"";"";"";"";""
"42";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allylidene diacetate";"";"";"";"";"esters";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"43";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum acetate";"";"";"";"";"salts";"";"";"1 – 90";"212";"<2";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";""
"44";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum acetate";"";"";"";"";"salts";"";"";"5 – 95";"25 – 125";"<2";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";""
"45";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"pitting; stress corrosion cracking";"5 – 25";"25 – 75";"20 – 50";"";"5,152,210,219";"";"";"";"";"";"";"";"";"";"";""
"46";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"100";"125 – 175";">50";"";"5,152,210,219";"";"";"";"";"";"";"";"";"";"";""
"47";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"5 – 15";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"48";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"100";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"49";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum ethylate";"aluminum ethoxide";"";"555-75-9";"C6H15AlO3";"reducing agents";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"50";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"";"";"100";"25 – 75";"20 – 50";"";"6,214,219";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
