sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Vinyl-Modified Polybutadiene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Vinyl-Modified Polybutadiene";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Vinyl-Modified Polybutadiene";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"2";"questionable";"100";"70 – 80";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Vinyl-Modified Polybutadiene";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 80";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Vinyl-Modified Polybutadiene";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"90";"70 – 175";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Vinyl-Modified Polybutadiene";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"80";"70 – 212";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Vinyl-Modified Polybutadiene";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10";"70 – 80";"<12";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Vinyl-Modified Polybutadiene";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"80";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Vinyl-Modified Polybutadiene";"sulfuric acid";"oil of vitriol";"";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended; weight gain";"60";"70 – 80";"<12";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Vinyl-Modified Polybutadiene";"water";"";"fresh water";"7732-18-5";"H2O";"water & wastewater";"1";"recommended";"100";"70 – 212";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Vinyl-Modified Polybutadiene";"water";"";"seawater";"7732-18-5";"H2O";"water & wastewater";"1";"recommended";"100";"70 – 212";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
