sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetophenone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended; steady state reached in exposure time";"100";"32 – 200";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"2";"questionable";"100";"200 – 330";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"2";"questionable; weight gain, strength loss, 180°C (356°F)";"100";"330 – 356";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended";"100";"70 – 275";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended; weight gain, ";"100";"275 – 302";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended; ";"100";"302 – 394";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"8";"Nylon";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Perfluoroalkoxy Resins";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended; weight gain; strength loss; steady state reached in exposure time";"100";"200 – 396";"<1";"boiling point 202°C (396°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"2";"questionable";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"Kynar";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"15";"Styrene Acrylonitrile Copolymer (SAN)";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"3";"not recommended; may dissolve";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Wood";"";"acetophenone";"methyl phenyl ketone";"98-86-2";"C8H8O";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
