sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium bisulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"15 – 45";"25 – 175";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"25 – 45";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 55";"75 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 55";"225 – 275";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"15 – 55";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 55";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 55";"75 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";">5";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"15 – 25";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"25 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper-Nickel";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (12Cr)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 45";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"35 – 45";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (17Cr)";"sodium bisulfite";"sodium hydrogen sulfite";"7631-90-5";"HNaO3S";"salts";"";"5 – 15";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
