sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzenesulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzenesulfonic acid";"";"surfactants & detergents";"2";"questionable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"25";"212";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"";"benzenesulfonic acid";"";"surfactants & detergents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"100";"250";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";">10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"benzenesulfonic acid";"";"surfactants & detergents";"1";"recommended";"10 – 70";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
