sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Vinyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Glass Fiber- Reinforced";"";"vinyl chloride";"chloroethene";"gas, liquid";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 80";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"any";"0 – 400";"<1";"10";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"any";"0 – 400";"<1";"10";"";"";"";"";"";"";"";"";"";"";""
"5";"Glass, Chemical";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 475";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Glass, Chemical";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"1";"recommended";"100";"475 – 752";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Nylon";"";"vinyl chloride";"chloroethene";"gas, liquid";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";">90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"vinyl chloride";"chloroethene";"gas, liquid";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"60 – 90";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Wood";"";"vinyl chloride";"chloroethene";"gas";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"3";"not recommended";"100";"0 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
