sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Oxalic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"3";"not recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"<30";"135";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"<30";"130";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorinated Polyvinyl Chloride (CPVC)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorosulfonated Polyethylene";"";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Concrete";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"60 – 70";"";"protects concrete";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Cements";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"8";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Cements";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"8";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Glass, Chemical";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Nylon";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Phenolic Resins, Asbestos-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Phenolic Resins, Asbestos-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polychloroprene";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyesters, Glass Fiber-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"20 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended; may stress crack";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyethylene (PE)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"33";"Polymethyl Methacrylate (PMMA)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"50";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polypropylene (PP)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinyl Chloride (PVC)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinyl Chloride (PVC)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinylidene Fluoride (PVDF)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyvinylidene Fluoride (PVDF)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"2";"questionable";"100";"125 – 212";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Butyl (BR)";"";"oxalic acid";"saturated";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Natural (NR)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Natural (NR)";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Vinyl Ester Resins";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";"100";"210";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"47";"Wood";"";"oxalic acid";"";"144-62-7";"C2H2O4";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
