sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylbenzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel (200)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel Cast Iron (15-35Ni)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Cr-Fe Alloy (600/ 690)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silicon Cast Iron (14Si)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"52 – 237";"<20";"no fluorides";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silver";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Steels, Carbon/ Low Alloy";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Superferritic Stainless Steel (26-1)";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Tantalum";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"ethylbenzene";"phenylethane";"100-41-4";"C8H10";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
