sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: DDT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"ddt";"agricultural chemicals";"1";"recommended";"6";"60 – 70";"<1";"in hydrocarbons";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"ddt";"agricultural chemicals";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Concrete";"ddt";"agricultural chemicals";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"ddt";"agricultural chemicals";"1";"recommended";"10";"70 – 150";"";"in kerosene";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Glass, Chemical";"ddt";"agricultural chemicals";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Glass, Chemical";"ddt";"agricultural chemicals";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"ddt";"agricultural chemicals";"1";"recommended";"2.5";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Styrene Acrylonitrile Copolymer (SAN)";"ddt";"agricultural chemicals";"1";"recommended";"70";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Styrene Acrylonitrile Copolymer (SAN)";"ddt";"agricultural chemicals";"3";"not recommended";"70";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Vinyl Ester Resins";"ddt";"agricultural chemicals";"1";"recommended";"2.5";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Wood";"ddt";"agricultural chemicals";"1";"recommended";">10";"60 – 70";"";"no organic solvents; emulsions";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
