sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citronella";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"citronella";"essential oils";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"citronella";"essential oils";"3";"not recommended; softened; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Concrete";"citronella";"essential oils";"3";"not recommended";"100";"60 – 70";"";"also other essential oils";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"citronella";"essential oils";"1";"recommended";"100";"60 – 70";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"citronella";"essential oils";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Glass, Chemical";"citronella";"essential oils";"1";"recommended";"100";"70 – 212";"";"also other essential oils";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"citronella";"essential oils";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"citronella";"essential oils";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"citronella";"essential oils";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Styrene Acrylonitrile Copolymer (SAN)";"citronella";"essential oils";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Wood";"citronella";"essential oils";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
