sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Formic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 10";"0 – 214";"<2";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"10 – 25";"176 – 210";"<20";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"25";"212";"20 – 50";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"35 – 95";"176 – 210";"<20";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"50";"0 – 176";"<2";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"50";"212";"20 – 50";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"65";"212";"20 – 50";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"80 – 90";"225";"20 – 50";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-4Mo (904L)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"100";"47 – 214";"<2";"";"54,139,175,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5";"0 – 212";"<2";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"10";"0 – 214";"<2";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"25";"212";"<20";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"50";"0 – 176";"<2";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"50";"176 – 212";"<20";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"65";"212";"<20";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"80";"225";"20 – 50";"boiling point";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"90";"223";"20 – 50";"boiling point";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"100";"0 – 214";"<2";"";"54,139,175,209,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 10";"212 – 214";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 45";"25 – 175";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 45";"175 – 225";"<20";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"50";"0 – 212";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"55 – 65";"25 – 175";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"55 – 65";"175 – 225";"<20";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"65 – 90";"212 – 225";"20 – 50";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"85 – 95";"25 – 175";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"85 – 95";"175 – 225";"<20";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"100";"47 – 214";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Alloy 30-44-5-3W (G-30)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"";"5 – 10";"212 – 214";"<2";"";"54,139,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
