sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium bicarbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"175 – 225";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"175 – 225";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"175 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 55";"52 – 237";"<2";"217,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"55 – 95";"52 – 145";"<2";"217,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"55 – 95";"145 – 237";"<20";"217,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Tantalum";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"75 – 275";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
