sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium ferricyanide or ferrocyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium ferricyanide or ferrocyanide";"ferricyanides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium ferricyanide or ferrocyanide";"ferricyanide";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium ferricyanide or ferrocyanide";"ferricyanide";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium ferricyanide or ferrocyanide";"ferricyanides; ferrocyanides";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium ferricyanide or ferrocyanide";"ferrocyanides";"1";"recommended";"20";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium ferricyanide or ferrocyanide";"";"2";"questionable";"20";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium ferricyanide or ferrocyanide";"";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyesters, Glass Fiber-Reinforced";"";"sodium ferricyanide or ferrocyanide";"ferricyanides";"1";"recommended";"10 – 70";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"sodium ferricyanide or ferrocyanide";"ferrocyanides";"1";"recommended";"10 – 40";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"sodium ferricyanide or ferrocyanide";"";"1";"recommended";"20";"60 – 70";"";"saturated, ferricyanides";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"sodium ferricyanide or ferrocyanide";"";"1";"recommended";"70";"70 – 150";"";"saturated, ferricyanides";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"sodium ferricyanide or ferrocyanide";"ferrocyanides";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polymethyl Methacrylate (PMMA)";"";"sodium ferricyanide or ferrocyanide";"ferricyanides; ferrocyanides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"sodium ferricyanide or ferrocyanide";"";"1";"recommended";">10";"60 – 150";"<6";"saturated; ferricyanides; ferrocyanides";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinyl Chloride (PVC)";"";"sodium ferricyanide or ferrocyanide";"ferricyanides; ferrocyanides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
