sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propionic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"10 – 50";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"30";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Glass, Chemical";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nylon";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Phenolic Resins, Asbestos-Reinforced";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"30";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Asbestos-Reinforced";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Phenolic Resins, Asbestos-Reinforced";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polychloroprene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polychloroprene";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyesters, Glass Fiber-Reinforced";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyethylene (PE)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"10 – 60";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Butyl (BR)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
