sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"10 – 90";"150 – 200";"";"from aluminum hydroxide";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Glass Fiber- Reinforced";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"60 – 70";"";"+ 10-20 mil Dynel or Orlon veil";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
