sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: o-Toluidine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"o-toluidine";"o-methylaniline";"95-53-4";"C7H9N";"amines";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
