sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorobenzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 500";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 275";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silicon Cast Iron (14Si)";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"52 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silver";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Steels, Carbon/ Low Alloy";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"5";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Tantalum";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Titanium, Unalloyed";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Zirconium";"chlorobenzene";"phenyl chloride";"108-90-7";"C6H5Cl";"halogenated aromatics";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
