sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium thiocyanate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"65 – 85";"175 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Lead";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"45 – 55";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"severe corrosion with oxygen ingress";"";"5 – 55";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel Cast Iron (15-35Ni)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 15";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"25 – 35";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"severe corrosion with oxygen ingress";"";"5 – 55";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silver";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 95";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 95";"75 – 175";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Steels, Carbon/ Low Alloy";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Steels, Carbon/ Low Alloy";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"25 – 35";"125 – 175";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"45 – 55";"75 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Superferritic Stainless Steel (26-1)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 25";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Tantalum";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 95";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 95";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Zirconium";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
