sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lauryl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"212";"<6";"also crude - acidic";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"4";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Phenolic Resins, Asbestos-Reinforced";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Phenolic Resins, Asbestos-Reinforced";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 212";"";"also crude, acidic";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinyl Chloride (PVC)";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 250";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"11";"Vinyl Ester Resins";"";"lauryl chloride";"1-chlorododecane";"112-52-7";"C12H25Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
