sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium phosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"100% ammoniacal or neutral";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium phosphate";"";"salts";"1";"recommended";"65";"220";"<6";"monobasic";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 180";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ammonium phosphate";"";"salts";"2";"questionable; recommended WITH CAUTION, avoid high stress applications";"100";"180 – 212";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"ammonium phosphate";"";"salts";"1";"recommended";"10 – 60";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ammonium phosphate";"";"salts";"1";"recommended; over 3 years";">10";"80 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium phosphate";"";"salts";"1";"recommended";"20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium phosphate";"saturated";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonium phosphate";"";"salts";"1";"recommended";"60";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polychloroprene";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyesters, Glass Fiber-Reinforced";"";"ammonium phosphate";"";"salts";"1";"recommended";"20";"60 – 70";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"ammonium phosphate";"";"salts";"2";"questionable";"60";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"ammonium phosphate";"";"salts";"1";"recommended";"95";"70 – 185";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polymethyl Methacrylate (PMMA)";"";"ammonium phosphate";"";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ammonium phosphate";"";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"";"ammonium phosphate";"saturated";"salts";"1";"recommended";"10 – 60";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polypropylene (PP)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinyl Chloride (PVC)";"";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"ammonium phosphate";"";"salts";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ammonium phosphate";"";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
