sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Stannous chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"199,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"pitting";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"pitting";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"";"5 – 45";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 125";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"";"5 – 15";"175 – 225";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"";"15 – 45";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"";"100";"25 – 75";"20 – 50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"stannous chloride";"tin chloride";"7772-99-8";"Cl2Sn";"salts";"";"5 – 45";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
