sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Precipitation Hardenable Stainless Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Precipitation Hardenable Stainless Steel (PH Grade 15-7Mo; S15700)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"30";"244";"<20";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Precipitation Hardenable Stainless Steel (PH Grade 15-7Mo; S15700)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"50";"284";">50";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Precipitation Hardenable Stainless Steel (PH Grade 15-7Mo; S15700)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"0 – 176";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Precipitation Hardenable Stainless Steel (PH Grade 15-7Mo; S15700)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"5";"95";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"<60";"216";"<20";"";"2,140,208,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"60";"216";"<20";"boiling point";"2,140,208,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"formic acid";"methanoic acid";"64-18-6";"CH2O2";"organic (weak) acids";"5 – 10";"176";"<20";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"25";"221";"<20";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"50";"239";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"65";"252";">50";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"<20";"217";"<2";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"20";"217";"<2";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"50";"234";"<20";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"phosphoric acid";"orthophosphoric acid";"7664-38-2";"H3O4P";"inorganic acids";"70";"257";">50";"boiling point";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"<30";"176";"<20";"";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"30";"244";"<20";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"50";"284";">50";"boiling point";"87,145,212,224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Precipitation Hardenable Stainless Steel (PH Grade 17-4; S17400)";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"0 – 176";"<2";"";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";""
