sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mercuric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"1";"68";"<2";"124,184,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"1";"212";"20 – 50";"124,184,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"1";"68";"<2";"124,184,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"1";"212";"<20";"124,184,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"5 – 10";"25 – 75";">50";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"pitting; stress corrosion cracking";"5 – 10";"25 – 75";"<2";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"5 – 10";"75 – 125";">50";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"5 – 10";"175 – 225";">50";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"pitting; stress corrosion cracking";"5 – 10";"75 – 225";">50";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"mercuric chloride";"mercury chloride";"7487-94-7";"Cl2Hg";"salts";"";"5 – 10";"25 – 75";">50";"124,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
