sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lactic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 30";"200 – 225";"<2";"boiling point is 102°C (216°F)";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";">5";"25 – 225";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"75";"225 – 230";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"80";"225 – 243";"<2";"up to boiling point";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"90";"225 – 261";"<2";"up to boiling point";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"100";"25 – 225";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Alloy 30-44-5-3W (G-30)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"100";"225 – 325";"<20";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Aluminum Alloy (3003/ 5154)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 55";"75 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Aluminum Alloy (3003/ 5154)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Aluminum Alloy (3003/ 5154)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"100";"75 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 15";"175 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 75";"25 – 125";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"15 – 25";"175 – 225";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"25 – 35";"175 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"35 – 45";"175 – 225";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";">45";"175 – 225";">50";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 15";"175 – 225";"<20";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
