sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended; swollen, weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended; softened; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended; may stress crack";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinyl Chloride (PVC)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinyl Chloride (PVC)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyvinylidene Fluoride (PVDF)";"Kynar";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinylidene Fluoride (PVDF)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"2";"questionable";"100";"150 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Fluoride (PVDF)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended";"100";"200 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Styrene Acrylonitrile Copolymer (SAN)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Styrene Acrylonitrile Copolymer (SAN)";"";"propyl alcohol";"1-propanol";"71-23-8";"C3H8O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
